date;time;ID;X;Y
26/11/2021;08:37;2012-87761;172.548;-51.732
26/11/2021;10:04;2012-87761;172.646;-51.799
26/11/2021;13:30;2012-87761;172.829;-51.897
26/11/2021;15:21;2012-87761;172.932;-51.949
26/11/2021;19:39;2012-87761;173.132;-52.044
26/11/2021;19:54;2012-87761;173.061;-52.004
26/11/2021;20:11;2012-87761;173.07;-52.077
26/11/2021;21:41;2012-87761;173.152;-52.117
26/11/2021;21:50;2012-87761;173.095;-52.099
27/11/2021;02:47;2012-87761;173.341;-52.205
27/11/2021;03:21;2012-87761;173.213;-52.243
27/11/2021;07:48;2012-87761;173.338;-52.315
27/11/2021;08:13;2012-87761;173.354;-52.251
27/11/2021;09:28;2012-87761;173.369;-52.333
27/11/2021;09:53;2012-87761;173.374;-52.349
27/11/2021;10:00;2012-87761;173.385;-52.337
27/11/2021;13:16;2012-87761;173.449;-52.34
27/11/2021;14:19;2012-87761;173.39;-52.351
27/11/2021;14:50;2012-87761;173.395;-52.37
27/11/2021;15:00;2012-87761;173.399;-52.378
27/11/2021;19:12;2012-87761;173.644;-52.383
27/11/2021;19:43;2012-87761;173.658;-52.39
27/11/2021;19:44;2012-87761;173.647;-52.387
27/11/2021;21:27;2012-87761;173.676;-52.381
27/11/2021;21:28;2012-87761;173.641;-52.372
28/11/2021;02:36;2012-87761;173.657;-52.369
28/11/2021;03:15;2012-87761;173.694;-52.331
28/11/2021;07:24;2012-87761;173.634;-52.316
28/11/2021;07:56;2012-87761;173.725;-52.24
28/11/2021;08:00;2012-87761;173.625;-52.307
28/11/2021;08:02;2012-87761;173.633;-52.307
28/11/2021;09:01;2012-87761;173.642;-52.336
28/11/2021;09:38;2012-87761;173.632;-52.341
28/11/2021;09:44;2012-87761;173.625;-52.338
28/11/2021;14:11;2012-87761;173.653;-52.396
28/11/2021;14:42;2012-87761;173.681;-52.392
28/11/2021;19:31;2012-87761;173.755;-52.392
28/11/2021;19:31;2012-87761;173.724;-52.379
28/11/2021;20:29;2012-87761;173.846;-52.382
28/11/2021;21:10;2012-87761;173.756;-52.348
28/11/2021;21:13;2012-87761;173.728;-52.371
29/11/2021;02:18;2012-87761;173.846;-52.325
29/11/2021;07:37;2012-87761;174.54;-52.359
29/11/2021;07:44;2012-87761;174.546;-52.358
29/11/2021;08:37;2012-87761;174.6;-52.32
29/11/2021;09:19;2012-87761;174.589;-52.284
29/11/2021;09:26;2012-87761;174.594;-52.282
29/11/2021;13:55;2012-87761;174.817;-52.204
29/11/2021;14:06;2012-87761;174.847;-52.207
29/11/2021;14:30;2012-87761;174.843;-52.194
29/11/2021;15:45;2012-87761;174.942;-52.181
29/11/2021;19:08;2012-87761;175.127;-52.142
29/11/2021;19:20;2012-87761;175.235;-52.201
29/11/2021;20:04;2012-87761;175.287;-52.198
29/11/2021;20:57;2012-87761;175.277;-52.211
30/11/2021;02:11;2012-87761;175.59;-52.27
30/11/2021;02:49;2012-87761;175.72;-52.289
30/11/2021;03:56;2012-87761;175.737;-52.231
30/11/2021;07:13;2012-87761;175.909;-52.335
30/11/2021;08:17;2012-87761;175.807;-52.317
30/11/2021;08:54;2012-87761;176.289;-52.27
30/11/2021;08:57;2012-87761;175.785;-52.3
30/11/2021;09:19;2012-87761;175.802;-52.326
30/11/2021;09:54;2012-87761;175.803;-52.327
30/11/2021;13:50;2012-87761;175.822;-52.34
30/11/2021;15:24;2012-87761;175.886;-52.338
30/11/2021;15:24;2012-87761;175.81;-52.354
30/11/2021;16:02;2012-87761;176.083;-52.52
30/11/2021;19:08;2012-87761;176.16;-52.614
30/11/2021;19:44;2012-87761;176.166;-52.621
30/11/2021;20:27;2012-87761;176.159;-52.635
01/12/2021;02:05;2012-87761;176.218;-52.749
01/12/2021;02:38;2012-87761;176.215;-52.774
01/12/2021;03:43;2012-87761;176.356;-52.884
01/12/2021;07:49;2012-87761;176.416;-52.892
01/12/2021;08:27;2012-87761;176.467;-53.178
01/12/2021;09:05;2012-87761;176.43;-52.893
01/12/2021;09:28;2012-87761;176.43;-52.893
01/12/2021;13:33;2012-87761;176.463;-52.955
01/12/2021;14:54;2012-87761;176.481;-52.966
01/12/2021;15:13;2012-87761;176.472;-52.965
01/12/2021;15:51;2012-87761;176.479;-52.961
01/12/2021;19:14;2012-87761;176.486;-52.975
01/12/2021;20:04;2012-87761;176.733;-53.132
01/12/2021;20:36;2012-87761;176.775;-53.159
03/12/2021;03:21;2012-87761;177.627;-53.631
03/12/2021;04:02;2012-87761;177.656;-53.647
03/12/2021;07:05;2012-87761;177.79;-53.717
03/12/2021;08:39;2012-87761;177.841;-53.795
03/12/2021;08:45;2012-87761;177.848;-53.796
03/12/2021;13:10;2012-87761;178.048;-53.963
03/12/2021;13:48;2012-87761;178.076;-53.981
03/12/2021;14:13;2012-87761;178.091;-53.994
03/12/2021;15:28;2012-87761;178.099;-53.992
03/12/2021;15:45;2012-87761;178.116;-54.021
03/12/2021;19:23;2012-87761;178.269;-54.085
03/12/2021;20:11;2012-87761;178.423;-54.186
03/12/2021;20:13;2012-87761;178.397;-54.146
